group,variable,value,index
ID1,ID1,1.0,0
ID1,ID2,0.88,1
ID1,ID3,0.33,2
ID1,ID4,0.91,3
ID1,ID5,0.88,4
ID1,ID6,0.88,5
ID1,ID7,0.88,6
ID1,ID8,0.86,7
ID1,ID9,0.88,8
ID1,ID10,0.86,9
ID2,ID1,0.88,10
ID2,ID2,1.0,11
ID2,ID3,0.33,12
ID2,ID4,0.91,13
ID2,ID5,0.94,14
ID2,ID6,0.88,15
ID2,ID7,0.88,16
ID2,ID8,0.86,17
ID2,ID9,0.94,18
ID2,ID10,0.86,19
ID3,ID1,0.33,20
ID3,ID2,0.33,21
ID3,ID3,1.0,22
ID3,ID4,0.34,23
ID3,ID5,0.33,24
ID3,ID6,0.33,25
ID3,ID7,0.33,26
ID3,ID8,0.32,27
ID3,ID9,0.33,28
ID3,ID10,0.32,29
ID4,ID1,0.91,30
ID4,ID2,0.91,31
ID4,ID3,0.34,32
ID4,ID4,1.0,33
ID4,ID5,0.91,34
ID4,ID6,0.91,35
ID4,ID7,0.91,36
ID4,ID8,0.88,37
ID4,ID9,0.91,38
ID4,ID10,0.88,39
ID5,ID1,0.88,40
ID5,ID2,0.94,41
ID5,ID3,0.33,42
ID5,ID4,0.91,43
ID5,ID5,1.0,44
ID5,ID6,0.94,45
ID5,ID7,0.88,46
ID5,ID8,0.86,47
ID5,ID9,0.94,48
ID5,ID10,0.86,49
ID6,ID1,0.88,50
ID6,ID2,0.88,51
ID6,ID3,0.33,52
ID6,ID4,0.91,53
ID6,ID5,0.94,54
ID6,ID6,1.0,55
ID6,ID7,0.88,56
ID6,ID8,0.86,57
ID6,ID9,0.88,58
ID6,ID10,0.86,59
ID7,ID1,0.88,60
ID7,ID2,0.88,61
ID7,ID3,0.33,62
ID7,ID4,0.91,63
ID7,ID5,0.88,64
ID7,ID6,0.88,65
ID7,ID7,1.0,66
ID7,ID8,0.86,67
ID7,ID9,0.88,68
ID7,ID10,0.86,69
ID8,ID1,0.86,70
ID8,ID2,0.86,71
ID8,ID3,0.32,72
ID8,ID4,0.88,73
ID8,ID5,0.86,74
ID8,ID6,0.86,75
ID8,ID7,0.86,76
ID8,ID8,1.0,77
ID8,ID9,0.91,78
ID8,ID10,0.94,79
ID9,ID1,0.88,80
ID9,ID2,0.94,81
ID9,ID3,0.33,82
ID9,ID4,0.91,83
ID9,ID5,0.94,84
ID9,ID6,0.88,85
ID9,ID7,0.88,86
ID9,ID8,0.91,87
ID9,ID9,1.0,88
ID9,ID10,0.86,89
ID10,ID1,0.86,90
ID10,ID2,0.86,91
ID10,ID3,0.32,92
ID10,ID4,0.88,93
ID10,ID5,0.86,94
ID10,ID6,0.86,95
ID10,ID7,0.86,96
ID10,ID8,0.94,97
ID10,ID9,0.86,98
ID10,ID10,1.0,99
